ip,anonymityLevel,asn,country,isp,latency,org,port,protocols,responseTime,speed,updated_at,upTime,upTimeSuccessCount,upTimeTryCount
"209.141.35.182","elite","AS53667","US","FranTech Solutions","192","FranTech Solutions","32608","socks5","4902","75","2023-06-21T19:42:16.264Z","59","1374","2315"
"89.237.36.193","elite","AS20485","RU","multi-origin SUTTK","94","N/A","51549","socks4","196","1","2023-06-21T19:42:16.262Z","99","2417","2431"
"212.69.12.193","elite","AS52116","RS","Orion Telekom Tim d.o.o.Beograd","83","Orion Telekom Tim d.o.o.Beograd","1080","socks4","4998","1","2023-06-21T19:42:13.262Z","100","2413","2415"
"186.188.43.25","elite","AS21826","VE","Corporación Telemic C.A.","184","Corporación Telemic C.A","5678","socks5","4803","1","2023-06-21T19:42:13.272Z","95","2223","2339"
"186.97.144.98","elite","AS27831","CO","Colombia Móvil","144","Colombia Móvil","5678","socks4","4902","1","2023-06-21T19:42:13.270Z","100","2354","2361"
"185.161.186.84","elite","AS43618","ES","Inforcelra SLU","47","Inforcelra SLU","54321","socks4","4599","1","2023-06-21T19:42:13.267Z","100","2426","2429"
"2.139.2.212","elite","AS3352","ES","RIMA (Red IP Multi Acceso)","24","N/A","4145","socks4","4486","1","2023-06-21T19:42:13.266Z","99","2384","2399"
"181.5.219.244","elite","AS7303","AR","Telecom Argentina S.A.","499","Telecom Personal Bs","7071","socks5","4915","1","2023-06-21T19:42:13.264Z","30","716","2387"
"120.42.46.226","elite","AS4134","CN","Chinanet","227","Chinanet FJ","6666","socks5","4899","1","2023-06-21T19:42:10.061Z","76","1840","2433"
"103.113.152.58","elite","AS45766","BD","Md Ziaul Huque","194","N/A","5678","socks4","4891","1","2023-06-21T19:42:10.278Z","98","2370","2423"
"202.159.30.9","elite","AS9340","ID","PT IndoInternet","186","N/A","443","socks4","3492","1","2023-06-21T19:42:10.275Z","100","2320","2326"
"94.139.170.82","elite","AS206065","IR","Farabord Dadeh Haye Iranian Co.","186","FDI LTE Static","33848","socks4","4903","1","2023-06-21T19:42:10.161Z","99","2420","2439"
"81.162.198.6","elite","AS34955","CZ","Martin Vicenik","79","VicenikRoute","4153","socks4","4106","85","2023-06-21T19:42:10.066Z","100","2386","2391"
"51.68.89.25","elite","AS16276","FR","OVH SAS","81","OVH","58481","socks5","4709","1","2023-06-21T19:42:10.277Z","100","2391","2391"
"202.21.117.126","elite","AS9484","MN","Mobinet LLC","116","N/A","5678","socks4","4807","1","2023-06-21T19:42:09.977Z","100","2434","2437"
"186.183.158.186","elite","AS22368","CO","Telebucaramanga S.a. E.S.P.","152","Telebucaramanga S.a. E.S.P","5678","socks4","4300","1","2023-06-21T19:42:09.981Z","99","2338","2360"
